,envios,ventas,nivel
939,858,352,2
940,1363,594,1
941,66,0,1
942,968,330,3
943,1078,484,2
944,198,0,2
945,308,176,3
946,616,88,2
947,396,110,3
948,374,110,2
949,770,330,2
950,880,286,1
951,1847,1034,2
952,1649,704,2
953,462,198,2
954,1517,616,1
955,682,154,1
956,2133,880,2
957,396,132,2
958,968,440,2
959,176,66,2
960,4266,1759,3
961,1297,550,3
962,1825,638,2
963,990,286,2
964,2837,1253,1
965,1253,528,2
966,242,110,2
967,154,66,2
968,3695,1693,3
969,2727,946,1
970,2353,858,2
971,6355,3167,2
972,3607,1319,2
973,0,0,3
974,990,528,1
975,242,88,2
976,0,0,2
977,132,22,3
978,2133,1210,2
979,330,66,2
980,352,154,2
981,440,88,1
982,506,198,3
983,792,462,3
984,66,66,1
985,396,110,1
986,616,352,2
987,220,176,2
988,2793,1122,2
989,924,242,2
990,0,0,2
991,1715,704,1
992,902,220,1
993,484,154,1
994,770,198,2
995,1012,374,2
996,286,132,3
997,2177,880,3
998,5586,2507,1
999,1429,352,1
1000,396,110,2
1001,660,462,1
1002,528,154,2
1003,528,264,1
1004,1979,1144,1
1005,4288,2287,2
1006,682,264,3
1007,0,0,2
1008,594,308,1
1009,3782,1693,3
1010,440,176,2
1011,1166,308,1
1012,1012,484,1
1013,1341,396,1
1014,1232,792,1
1015,1539,726,2
1016,462,220,2
1017,1166,594,2
1018,3804,1671,1
1019,0,0,2
1020,0,0,3
1021,1122,462,1
1022,286,154,2
1023,968,440,1
1024,990,330,2
1025,1166,550,2
1026,1319,352,1
1027,462,242,1
1028,880,220,2
1029,1144,550,2
1030,3343,1627,1
1031,2199,880,2
1032,1627,550,1
1033,154,88,2
1034,594,352,2
1035,550,154,1
1036,2375,1253,2
1037,286,110,1
1038,1407,396,1
1039,220,44,2
1040,2749,1166,2
1041,330,88,2
1042,1034,418,1
1043,110,44,2
1044,638,220,3
1045,0,0,2
1046,3980,924,1
1047,4310,1495,3
1048,462,198,1
1049,462,220,1
1050,88,44,2
1051,506,330,2
1052,572,176,2
1053,660,242,1
1054,2309,902,1
1055,594,242,2
1056,616,176,2
1057,396,198,2
1058,176,66,1
1059,2683,1166,2
1060,1627,814,1
1061,2067,880,3
1062,3475,1451,3
1063,33251,16911,1
1064,2111,1363,2
1065,1100,330,1
1066,1122,506,1
1067,880,374,3
1068,1034,132,2
1069,110,66,3
1070,308,88,2
1071,1012,242,2
1072,220,110,2
1073,44,22,2
1074,308,88,2
1075,550,220,1
1076,3936,1715,2
1077,264,154,2
1078,660,352,2
1079,132,66,2
1080,242,132,1
1081,220,66,1
1082,4596,1649,2
1083,1253,638,1
1084,440,220,2
1085,1935,858,1
1086,66,22,3
1087,550,198,1
1088,374,176,2
1089,1561,814,2
1090,1495,550,1
1091,0,0,3
1092,1957,1034,2
1093,506,176,1
1094,1253,638,2
1095,1144,440,2
1096,1078,286,1
1097,990,616,3
1098,0,0,2
1099,1232,660,1
1100,132,44,3
1101,2375,1210,1
1102,1144,440,2
1103,990,396,2
1104,550,242,1
1105,682,352,1
1106,374,132,3
1107,726,396,1
1108,528,198,1
1109,1319,286,1
1110,330,198,2
1111,352,154,1
1112,396,132,2
1113,1341,550,3
1114,880,330,2
1115,506,286,2
1116,3189,1935,3
1117,1210,440,1
1118,154,110,2
1119,682,308,2
1120,286,132,3
1121,220,44,2
1122,594,110,1
1123,308,198,2
1124,660,198,1
1125,440,220,2
1126,2573,968,1
1127,330,110,2
1128,550,220,3
1129,154,88,2
1130,264,132,1
1131,66,0,3
1132,1429,396,2
1133,110,88,3
1134,1803,748,2
1135,572,176,2
1136,1605,550,1
1137,4662,1232,1
1138,7323,2793,3
1139,484,242,2
1140,902,198,1
1141,44,22,2
1142,264,110,2
1143,946,374,1
1144,374,242,1
1145,4068,1737,2
1146,3123,1979,2
1147,726,352,2
1148,2617,836,2
1149,264,176,2
1150,682,330,1
1151,1210,528,2
1152,440,198,2
1153,484,154,2
1154,4420,1583,1
1155,1627,836,1
1156,462,176,1
1157,1166,638,2
1158,1210,462,1
