n,%adqui
0.5289148797920727,3
0.38017280582082763,3
0.6041666666666666,3
0.5641025641025641,3
0.5167416291854073,3
0.3068526379624015,3
0.3105070569785677,3
0.3829309376754632,3
0.3863124718595227,3
0.13793103448275862,3
0.6003638568829593,3
0.47166186359269935,3
0.1891891891891892,3
0.43926788685524126,3
0.47870637207813,3
0.42706600110926235,3
0.573326520183955,3
0.30724261123741475,3
0.875,3
0.2648829431438127,3
0.4425010931351115,3
0.17557861133280128,3
0.6304347826086957,3
0.4002140181915463,3
0.506457046603032,3
0.3979328165374677,3
0.36952328465141915,3
0.627906976744186,3
0.5075807514831905,3
0.31597845601436264,3
0.5003790750568613,3
0.5069739235900546,3
0.3763037129745515,3
0.5628997867803838,3
0.38052530429212045,3
0.4561872909698997,3
0.3501136732705424,3
0.3501989766913019,3
0.532648569332355,3
0.5486552567237164,3
0.4036697247706422,3
0.3291442250149611,3
0.536333802156587,3
0.23747108712413262,3
0.15077881619937694,3
0.27139552814186585,3
0.5283597342871742,3
0.42332361516034983,3
0.40986301369863015,3
0.65625,3
0.5918367346938775,3
0.381976023150062,3
0.49217002237136465,3
0.3544575725026853,3
0.43234138124649074,3
0.41541425818882466,3
0.557504873294347,3
0.3136456211812627,3
0.47639670853183197,3
0.5424657534246575,3
0.3283582089552239,3
0.5297658862876254,3
0.3806841046277666,3
0.24743276283618582,3
0.3502653525398029,3
0.397084345713294,3
0.5394560855996433,3
0.5521870939800779,3
0.28592057761732853,3
0.4793936522974893,3
0.4180522565320665,3
0.49463464486458864,3
0.4877771461057419,3
0.3375342465753425,3
0.40644244433917576,3
0.3826086956521739,3
0.34451901565995524,3
0.46300067888662594,3
0.4127345082433201,3
0.4238921001926782,3
0.5686274509803921,3
0.3335075797177209,3
0.44563869367507236,3
0.5343669250645995,3
0.5655899802241265,3
0.2421129860601614,3
0.32575356953992596,3
0.46276293348493464,3
0.270733012306046,3
0.527736131934033,3
0.3779686710459828,3
0.4434188034188034,3
0.2395900064061499,3
0.12903225806451613,3
0.34425427872860637,3
0.6052631578947368,3
0.28585707146426786,3
0.5260196905766527,3
0.25390359809911744,3
0.4002799160251924,3
0.41204013377926424,3
0.49497367161321204,3
0.4853669518235029,3
0.400303260045489,3
0.39013107170393213,3
0.45478036175710596,3
0.8461538461538461,3
0.6170212765957447,3
0.5198253910512913,3
0.3218663503361012,3
0.31909055272442177,3
0.521460602178091,3
0.5126785193821043,3
0.33354390397978523,3
0.6216216216216216,3
0.414584186808685,3
0.3765281173594132,3
0.3709759836484415,3
0.31005765534913515,3
0.38362395754359363,3
0.4368994234465087,3
0.24339274738783037,3
0.43536842105263157,3
0.37684583579444775,3
